2017-03-27  09:14:54.879,  Generating log file
2017-03-27  09:14:54.891,  loading data from: Star-Wars-Yoda.csv
2017-03-27  09:14:55.006,  Connected to Arduino on /dev/ttyACM0
2017-03-27  09:15:15.076,  178 / 218,   -8.0 -10.0
2017-03-27  09:15:15.088,  179 / 218,   11.0 -4.0
2017-03-27  09:15:15.100,  180 / 218,   19.0 -7.0
2017-03-27  09:15:15.114,  181 / 218,   17.0 -10.0
2017-03-27  09:15:15.126,  182 / 218,   15.0 -12.0
2017-03-27  09:15:15.138,  183 / 218,   11.0 -14.0
2017-03-27  09:15:15.150,  184 / 218,   10.0 -21.0
2017-03-27  09:15:15.162,  185 / 218,   4.0 -25.0
2017-03-27  09:15:15.174,  186 / 218,   1.0 -16.0
2017-03-27  09:15:15.186,  187 / 218,   -2.0 -14.0
2017-03-27  09:15:15.197,  188 / 218,   -4.0 -17.0
2017-03-27  09:15:15.213,  189 / 218,   -7.0 -17.0
2017-03-27  09:15:15.225,  190 / 218,   -9.0 -18.0
2017-03-27  09:15:15.237,  191 / 218,   -11.0 -19.0
2017-03-27  09:15:15.249,  192 / 218,   -11.0 -16.0
2017-03-27  09:15:15.260,  193 / 218,   -20.0 -25.0
2017-03-27  09:15:15.275,  194 / 218,   -2.0 -5.0
2017-03-27  09:15:15.289,  195 / 218,   9.0 -11.0
2017-03-27  09:15:15.300,  196 / 218,   10.0 -12.0
2017-03-27  09:15:15.314,  197 / 218,   3.0 -4.0
2017-03-27  09:15:15.327,  198 / 218,   5.0 -6.0
2017-03-27  09:15:15.338,  199 / 218,   15.0 -19.0
2017-03-27  09:15:15.350,  200 / 218,   18.0 -28.0
2017-03-27  09:15:15.361,  201 / 218,   2.0 -5.0
2017-03-27  09:15:15.377,  202 / 218,   0.0 -3.0
2017-03-27  09:15:15.392,  203 / 218,   -4.0 -2.0
2017-03-27  09:15:15.406,  204 / 218,   -7.0 -2.0
2017-03-27  09:15:15.417,  205 / 218,   -16.0 -1.0
2017-03-27  09:15:15.430,  206 / 218,   -15.0 2.0
2017-03-27  09:15:15.442,  207 / 218,   -16.0 5.0
